timestamp;cpu;mem;disk;net_sent;net_recv
1765250809;17.5;29.8;6.1;169564197;165857696
1765250811;18.3;29.8;6.1;169733814;165955717
1765250812;16.6;29.8;6.1;169857791;166007413
1765250813;17.1;29.8;6.1;169972588;166057951
1765250814;17.1;29.8;6.1;170017408;166061315
1765250815;16.8;29.8;6.1;170118093;166111534
1765250816;16.4;29.8;6.1;170242200;166162452
1765250817;16.6;29.8;6.1;170377309;166213839
1765250818;16.6;29.8;6.1;170514091;166265370
1765250819;16.5;29.8;6.1;170638289;166316264
1765250820;17.3;29.8;6.1;170773782;166367711
1765250821;17.5;29.8;6.1;170910876;166419596
1765250822;17;29.8;6.1;171048111;166473243
1765250823;16.9;29.8;6.1;171185413;166525272
1765250824;16;29.8;6.1;171321180;166576752
1765250825;17.1;29.8;6.1;171458546;166628448
1765250827;16.5;29.8;6.1;171608622;166681204
1765250828;16.5;29.8;6.1;171733557;166732158
1765250829;17.7;28.6;6.1;171905578;166830187
1765250830;17;28.6;6.1;172028843;166880797
1765250831;15.6;28.7;6.1;172064857;166883370
1765250832;16;28.8;6.1;172168439;166933865
1765250833;16.7;28.8;6.1;172293899;166986299
1765250834;16.7;28.9;6.1;172417971;167037553
1765250835;16.4;29;6.1;172543296;167088987
1765250836;16.3;29;6.1;172668988;167140439
1765250837;16.1;29.1;6.1;172793079;167191363
1765250838;16.4;29.2;6.1;172906448;167242959
1765250839;16.4;29.2;6.1;173019251;167294076
1765250840;16.9;29.2;6.1;173130494;167344170
1765250842;16.5;29.2;6.1;173243262;167394914
1765250843;16.9;29.2;6.1;173356075;167445532
1765250844;16.7;29.2;6.1;173468147;167496402
1765250845;16.6;29.2;6.1;173581736;167547883
1765250846;17;29.2;6.1;173693951;167598424
1765250847;16.4;29.2;6.1;173796999;167648617
1765250848;16;29.2;6.1;173856705;167698363
1765250849;16.7;29.3;6.1;173970401;167749486
1765250850;16.7;29.3;6.1;174084484;167847757
1765250851;16;29.4;6.1;174133543;167850541
1765250852;16;29.5;6.1;174247530;167902064
1765250853;16.8;29.5;6.1;174360814;167952796
1765250854;16.7;29.5;6.1;174474141;168003546
1765250855;15.2;29.5;6.1;174586438;168054133
1765250856;16.4;29.5;6.1;174699900;168105105
1765250858;15.8;29.6;6.1;174813407;168155933
1765250859;16.3;29.7;6.1;174928491;168206970
1765250860;16.1;29.7;6.1;175042088;168257792
1765250861;16.2;29.7;6.1;175155730;168308686
1765250862;16.9;29.7;6.1;175267885;168358788
1765250863;16;29.7;6.1;175384681;168409748
1765250864;16.6;29.7;6.1;175496924;168459850
1765250865;16.3;29.7;6.1;175609212;168510227
1765250866;15.8;29.7;6.1;175723077;168560977
1765250867;16.5;29.7;6.1;175837039;168611983
1765250868;17.4;29.7;6.1;175949462;168662420
1765250869;16.6;29.7;6.1;176088256;168758908
1765250870;15.8;29.7;6.1;176110337;168761204
1765250871;16.3;29.7;6.1;176224382;168811492
1765250873;16;29.7;6.1;176336992;168861646
1765250874;15.6;29.7;6.1;176449647;168911860
1765250875;16.2;29.7;6.1;176565409;168963074
1765250876;16;29.7;6.1;176678197;169013288
1765250877;16.4;29.7;6.1;176790976;169063605
1765250878;16.3;29.7;6.1;176903800;169113707
1765250879;16;29.7;6.1;177018201;169164739
1765250880;16.2;29.7;6.1;177131113;169216471
1765250881;16.4;28.5;6.1;177244299;169266639
1765250882;16.4;28.5;6.1;177358833;169316963
1765250883;16.3;28.5;6.1;177473412;169367209
1765250884;16;28.5;6.1;177575824;169416951
1765250885;16.8;28.5;6.1;177679724;169467256
1765250886;15.1;28.5;6.1;177798216;169563561
1765250887;16.5;28.5;6.1;177865822;169566701
1765250889;16.6;28.5;6.1;177979119;169616863
1765250890;17.3;28.5;6.1;178139867;169714431
1765250891;16.9;28.5;6.1;178254786;169764305
1765250892;16.9;28.5;6.1;178321164;169767353
1765250893;17.3;28.5;6.1;178434758;169817515
1765250894;16.9;28.5;6.1;178548325;169867859
1765250895;16.6;28.5;6.1;178661937;169917961
